Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
1000000.09,220.,0.212,0.788,227.7746480569,599.1506456493,11.0833897343,11.4363015606
1000000.09,220.,0.308,0.692,310.2048596269,492.3012026131,7.3493810199,4.9490666187
1000000.09,220.,0.404,0.596,386.8452853932,397.9651594473,22.0579003966,26.1166275319
1000000.09,220.,0.5,0.5,448.7742391079,321.5588792108,22.5443389862,32.6003699547
1000000.09,220.,0.596,0.404,501.8120723262,249.6705235267,18.2173172470,14.8567163832
1000000.09,220.,0.692,0.308,545.6584677527,194.7798496942,15.2548637274,25.2946981391
1000000.09,220.,0.788,0.212,586.5536168681,138.2407807923,15.5688024624,20.7437946052
1000000.09,220.,0.884,0.116,632.1490056978,79.9733929824,7.9841819266,6.8268998081
1000000.09,220.,0.98,0.02,677.1349064080,14.8717441209,9.8379323265,3.6620797537
1000000.09,240.,0.02,0.98,34.6604383901,801.4037833989,2.0621305021,2.0894113287
1000000.09,240.,0.116,0.884,154.8886803485,653.1777055831,5.7010072261,6.9136284768
1000000.09,240.,0.212,0.788,259.3083154274,527.0146988254,15.0082226290,16.4012805562
1000000.09,240.,0.308,0.692,347.8057233491,418.0718695195,32.6148508876,31.4376331615
1000000.09,240.,0.404,0.596,407.0132711538,343.2167845990,6.9874907218,10.2468931188
1000000.09,240.,0.5,0.5,482.1025728441,256.5416095552,17.5495867099,24.7574305768
1000000.09,240.,0.596,0.404,525.8491904138,198.5157208520,5.2324502196,7.7272313082
1000000.09,240.,0.692,0.308,564.0456998345,147.8019086394,5.2023658565,10.8894622394
1000000.09,240.,0.788,0.212,597.3379167972,97.7382163863,12.2368992580,15.2159096086
1000000.09,240.,0.884,0.116,634.1420332534,51.1940826499,7.4219505186,7.5673536881
1000000.09,240.,0.98,0.02,661.3088735367,9.4253755255,8.4195886049,0.5222473513
1000000.09,260.,0.02,0.98,48.1131635925,724.0030469389,2.9867445987,4.4160743176
1000000.09,260.,0.116,0.884,207.3100691039,540.8106080706,7.8607294226,11.6371244818
1000000.09,260.,0.212,0.788,327.8386986240,399.3678728202,17.2528556449,21.2554191714
1000000.09,260.,0.308,0.692,424.9192507419,287.7406390994,19.7741838084,20.3815022032
1000000.09,260.,0.404,0.596,484.5015276382,216.0666866132,12.5234987155,17.2403585345
1000000.09,260.,0.5,0.5,528.7878590936,159.3676791086,9.4965883751,10.8554427457
1000000.09,260.,0.596,0.404,561.6968447671,122.4031311706,8.3294479580,11.9682022358
1000000.09,260.,0.692,0.308,588.4733568853,89.1919121572,10.1523540778,13.0203279284
1000000.09,260.,0.788,0.212,616.2806023703,53.6458077673,10.1344782432,4.3162662039
1000000.09,260.,0.884,0.116,634.5824611451,27.9940745325,8.1928621014,4.6502878054
1000000.09,260.,0.98,0.02,653.1530877382,5.3399853293,1.7230217445,0.6897496144
