Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
1000000.095,360.,0.116,0.884,131.0926828021,158.6602208812,0.3900419400,0.4368929837
1000000.095,360.,0.212,0.788,216.6373117374,133.9754604703,0.9226099260,0.6225093870
1000000.095,360.,0.308,0.692,293.3470888529,113.3146180720,1.0644715270,0.6405678415
1000000.095,360.,0.404,0.596,363.8008401606,94.1604157512,1.9151436507,0.4249469357
1000000.095,360.,0.5,0.5,429.1387233388,76.5332359745,1.0535867948,0.2524082779
1000000.095,360.,0.596,0.404,490.4175724678,59.9903618667,0.4995867079,0.3249084066
1000000.095,360.,0.692,0.308,546.7137735472,44.4369811887,1.7174775246,0.1192997603
1000000.095,360.,0.788,0.212,599.8524688048,29.7806368548,2.5002408317,0.1458442899
1000000.095,360.,0.884,0.116,648.5959595874,15.9130437635,2.3388390435,0.0842188759
1000000.095,360.,0.98,0.02,694.4168568604,2.6717309692,1.5735741558,0.0204260224
1000000.095,380.,0.02,0.98,20.2683091709,158.5036205017,0.3056171572,0.9424593025
1000000.095,380.,0.116,0.884,101.9184620580,132.0009068404,0.4661043132,0.5765736093
1000000.095,380.,0.212,0.788,169.2715499202,111.5752161124,0.7979119532,0.3511267069
1000000.095,380.,0.308,0.692,230.8754451913,94.5347465932,0.9486176741,0.4640422186
1000000.095,380.,0.404,0.596,287.0348989789,78.9918602014,1.2940942596,0.3465835631
1000000.095,380.,0.5,0.5,340.6847957694,64.5028010236,2.2040238998,0.2364392839
1000000.095,380.,0.596,0.404,390.7332192904,50.8989158366,1.4666534822,0.2155169304
1000000.095,380.,0.692,0.308,438.5424059074,37.9855061924,1.1765717883,0.1807923877
1000000.095,380.,0.788,0.212,482.9349722905,25.5843770333,2.0450499788,0.1169041719
1000000.095,380.,0.884,0.116,526.7736578768,13.7253660741,1.3878201480,0.0715492154
1000000.095,380.,0.98,0.02,566.8654947988,2.3283981013,3.2309372932,0.0161888545
1000000.095,400.,0.02,0.98,15.5074413521,133.2371372168,0.1432658095,0.3008747000
1000000.095,400.,0.116,0.884,80.1136451217,112.1987775927,0.6053956255,0.4338632636
1000000.095,400.,0.212,0.788,135.6288400908,95.0531227693,0.7825442375,0.5355673065
1000000.095,400.,0.308,0.692,184.6169565845,80.4436563772,1.1166133156,0.1009046118
1000000.095,400.,0.404,0.596,230.5139602371,67.2594906859,0.9955455696,0.2655164715
1000000.095,400.,0.5,0.5,274.0070061903,55.0743775761,1.0697876828,0.1250562315
1000000.095,400.,0.596,0.404,315.6396106643,43.5165318497,1.0623558041,0.1787721776
1000000.095,400.,0.692,0.308,354.9892950716,32.6357061208,0.9231357637,0.0861330458
1000000.095,400.,0.788,0.212,392.7634010588,22.0287362364,1.2277443138,0.0927949634
1000000.095,400.,0.884,0.116,429.5526823530,11.8637385832,1.9288268268,0.0460853772
1000000.095,400.,0.98,0.02,464.1386229073,2.0168944380,1.0749479488,0.0251814322
2000000.09,200.,0.02,0.98,310.3851502398,1284.2475889221,4.4793171968,3.3101166686
2000000.09,200.,0.116,0.884,622.1758130217,1060.6543878702,3.1442503516,2.6931404234
2000000.09,200.,0.212,0.788,838.3762660000,903.9509703823,11.0620900797,8.6801375847
2000000.09,200.,0.308,0.692,1004.2417501895,780.4689475518,8.3828841491,5.0648614150
2000000.09,200.,0.404,0.596,1148.3401857425,671.0040180975,4.6862935983,3.4591498067
2000000.09,200.,0.5,0.5,1276.2166482111,576.5009794879,4.3075322057,2.0364614552
2000000.09,200.,0.596,0.404,1399.8895966048,478.4167397407,4.9032194845,2.6686738928
2000000.09,200.,0.692,0.308,1518.1081459244,380.1290909415,7.8212265577,5.3105328973
2000000.09,200.,0.788,0.212,1636.9229025836,279.4406403932,7.6455306783,4.8763118155
2000000.09,200.,0.884,0.116,1680.0101292423,253.8287288467,7.6204642882,4.3424783641
2000000.09,200.,0.98,0.02,1899.9901796907,54.1007814313,11.0375791540,1.9049877467
2000000.09,220.,0.02,0.98,248.4839924033,1207.3809082603,2.9867193162,3.3647523334
2000000.09,220.,0.116,0.884,795.3144895317,827.0213240033,2.5806319541,3.7670011806
2000000.09,220.,0.212,0.788,1059.4480699264,640.4711348769,3.4692753124,3.1396845200
2000000.09,220.,0.308,0.692,1234.8005602825,512.3792803721,2.8641212489,5.4081029417
2000000.09,220.,0.404,0.596,1244.2459724810,486.2507416971,5.7313214479,5.3722036224
2000000.09,220.,0.5,0.5,1349.1489170512,404.6424619953,2.0550136887,3.7628748992
2000000.09,220.,0.596,0.404,1448.5793109722,324.8725180106,3.2614595724,2.8002676608
2000000.09,220.,0.692,0.308,1546.1091074634,248.3318182781,5.6508313647,3.3630922129
2000000.09,220.,0.788,0.212,1636.9438759282,174.0669586294,7.2539772797,1.4161893678
2000000.09,220.,0.884,0.116,1725.6747167636,98.3103691020,5.8557759136,1.9828153135
2000000.09,220.,0.98,0.02,1819.1898135458,17.8267963392,7.4348838783,0.2515430145
2000000.09,240.,0.02,0.98,198.1415622048,1071.7329772101,2.6469384410,1.8005475460
2000000.09,240.,0.116,0.884,700.0210810427,731.9109329099,4.8961911779,2.7455343873
2000000.09,240.,0.212,0.788,947.9929494115,558.6751529177,2.4211894135,4.6193080633
2000000.09,240.,0.308,0.692,1114.8297463592,441.9918170275,3.9406763793,4.1100684804
2000000.09,240.,0.404,0.596,1239.1771790640,352.6838656960,2.9038637463,1.5036441319
2000000.09,240.,0.5,0.5,1341.3224408467,279.1440815633,4.0276715633,0.6536792298
2000000.09,240.,0.596,0.404,1425.1928650908,217.4534548438,5.3444917175,2.8349841041
2000000.09,240.,0.692,0.308,1499.0201775150,162.1755469945,5.4882909288,0.7075998946
2000000.09,240.,0.788,0.212,1561.2026440661,109.6710919577,2.4174145800,1.1381801407
2000000.09,240.,0.884,0.116,1625.2484281307,59.8279082384,14.8366341844,0.7795099560
2000000.09,240.,0.98,0.02,1685.6604513708,10.3857413265,14.0247132916,0.2094704578
2000000.09,260.,0.02,0.98,157.8652521008,909.8555995548,0.3793869347,1.5476432837
2000000.09,260.,0.116,0.884,606.7040236421,630.5683038880,1.8980516679,1.5766847152
2000000.09,260.,0.212,0.788,845.3792196246,475.4716897635,3.8237765571,5.0777889694
2000000.09,260.,0.308,0.692,1002.8277452065,369.6458705111,2.0614959450,2.1287449000
2000000.09,260.,0.404,0.596,1116.8619901899,290.2955074835,1.8469404064,2.4558644810
2000000.09,260.,0.5,0.5,1208.7772793195,226.0058997888,3.2586807977,2.0120706003
2000000.09,260.,0.596,0.404,1284.7357060369,171.8661024717,3.9053395460,0.7848816787
2000000.09,260.,0.692,0.308,1345.9432240885,124.6374853013,2.1421318890,1.1685494148
2000000.09,260.,0.788,0.212,1403.1917452466,82.7251938540,3.0688645381,1.0370279404
2000000.09,260.,0.884,0.116,1452.6448839297,43.4587786411,4.1089682641,0.4100016384
2000000.09,260.,0.98,0.02,1499.8795691265,7.3604083282,6.0100837006,0.1097708696
2000000.09,280.,0.02,0.98,121.9154743695,751.5251867272,0.5865043085,3.3353772978
2000000.09,280.,0.116,0.884,510.6080116530,540.7937378018,2.4015646028,2.3939664912
2000000.09,280.,0.212,0.788,740.1626787848,410.2239156417,2.0800155661,1.4634252735
2000000.09,280.,0.308,0.692,894.0962020533,318.2127158479,3.4690880188,1.2508523107
2000000.09,280.,0.404,0.596,1008.0847560765,247.7874488288,0.9663273807,0.8508704820
2000000.09,280.,0.5,0.5,1097.5185702422,191.2254628923,1.5091773202,1.3522570480
2000000.09,280.,0.596,0.404,1169.6255800289,144.1740883277,0.9693274399,0.4214691680
2000000.09,280.,0.692,0.308,1230.6784976700,103.5766651340,1.5575589977,1.2196616707
2000000.09,280.,0.788,0.212,1284.8647205950,67.6401596611,2.2749787022,0.3769503083
2000000.09,280.,0.884,0.116,1329.2499612303,35.1337791661,2.5747048535,0.1848053801
2000000.09,280.,0.98,0.02,1371.3599060031,5.8505818669,3.3063595875,0.0625753919
2000000.09,300.,0.02,0.98,92.4226921266,609.4037011182,0.4667634316,1.5470616926
2000000.09,300.,0.116,0.884,414.2150084225,459.5293970736,2.2643533688,1.2663350345
2000000.09,300.,0.212,0.788,627.2648472084,357.5890613062,0.6511674960,1.2124269431
2000000.09,300.,0.308,0.692,779.2009917792,280.1810590405,1.4481245657,1.4939434720
2000000.09,300.,0.404,0.596,894.4355741022,219.5987917251,0.4044048334,0.6269794557
2000000.09,300.,0.5,0.5,985.9218728684,169.5823656973,1.8147871008,0.8197469059
2000000.09,300.,0.596,0.404,1061.0683082757,127.2450383421,3.2335476617,0.5679585296
2000000.09,300.,0.692,0.308,1124.0260560009,91.1660287750,1.4560863002,0.6440109026
